(12, 22)
(12, 44)
(12, 66)
(12, 67)
(12, 88)
(12, 89)
(12, 106)
(12, 111)
(12, 131)
(12, 133)
(12, 150)
(12, 153)
(12, 176)
(12, 198)

(25, 22)
(25, 44)
(25, 66)
(25, 67)
(25, 88)
(25, 89)
(25, 106)
(25, 111)
(25, 131)
(25, 133)
(25, 150)
(25, 153)
(25, 176)
(25, 198)

(36, 22)
(36, 44)
(36, 66)
(36, 67)
(36, 88)
(36, 89)
(36, 106)
(36, 111)
(36, 131)
(36, 133)
(36, 150)
(36, 153)
(36, 176)
(36, 198)

(49, 22)
(49, 44)
(49, 66)
(49, 67)
(49, 88)
(49, 89)
(49, 106)
(49, 111)
(49, 131)
(49, 133)
(49, 150)
(49, 153)
(49, 176)
(49, 198)

(60, 22)
(60, 44)
(60, 66)
(60, 67)
(60, 88)
(60, 89)
(60, 106)
(60, 111)
(60, 131)
(60, 133)
(60, 150)
(60, 153)
(60, 176)
(60, 198)

(74, 22)
(74, 44)
(74, 66)
(74, 67)
(74, 88)
(74, 89)
(74, 106)
(74, 111)
(74, 131)
(74, 133)
(74, 150)
(74, 153)
(74, 176)
(74, 198)

(84, 22)
(84, 44)
(84, 66)
(84, 67)
(84, 88)
(84, 89)
(84, 106)
(84, 111)
(84, 131)
(84, 133)
(84, 150)
(84, 153)
(84, 176)
(84, 198)

(97, 22)
(97, 44)
(97, 66)
(97, 67)
(97, 88)
(97, 89)
(97, 106)
(97, 111)
(97, 131)
(97, 133)
(97, 150)
(97, 153)
(97, 176)
(97, 198)

(108, 22)
(108, 44)
(108, 66)
(108, 67)
(108, 88)
(108, 89)
(108, 106)
(108, 111)
(108, 131)
(108, 133)
(108, 150)
(108, 153)
(108, 176)
(108, 198)

(121, 22)
(121, 44)
(121, 66)
(121, 67)
(121, 88)
(121, 89)
(121, 106)
(121, 111)
(121, 131)
(121, 133)
(121, 150)
(121, 153)
(121, 176)
(121, 198)

(132, 22)
(132, 44)
(132, 66)
(132, 67)
(132, 88)
(132, 89)
(132, 106)
(132, 111)
(132, 131)
(132, 133)
(132, 150)
(132, 153)
(132, 176)
(132, 198)

(145, 22)
(145, 44)
(145, 66)
(145, 67)
(145, 88)
(145, 89)
(145, 106)
(145, 111)
(145, 131)
(145, 133)
(145, 150)
(145, 153)
(145, 176)
(145, 198)

(156, 22)
(156, 44)
(156, 66)
(156, 66)
(156, 67)
(156, 88)
(156, 89)
(156, 106)
(156, 111)
(156, 131)
(156, 133)
(156, 150)
(156, 153)
(156, 176)
(156, 198)

(170, 22)
(170, 44)
(170, 66)
(170, 67)
(170, 88)
(170, 89)
(170, 106)
(170, 111)
(170, 131)
(170, 133)
(170, 150)
(170, 153)
(170, 176)
(170, 198)

(180, 22)
(180, 44)
(180, 66)
(180, 67)
(180, 88)
(180, 89)
(180, 106)
(180, 111)
(180, 131)
(180, 133)
(180, 150)
(180, 153)
(180, 176)
(180, 198)

(193, 22)
(193, 44)
(193, 66)
(193, 67)
(193, 88)
(193, 89)
(193, 106)
(193, 111)
(193, 131)
(193, 133)
(193, 150)
(193, 153)
(193, 176)
(193, 198)

(204, 22)
(204, 44)
(204, 66)
(204, 67)
(204, 88)
(204, 89)
(204, 106)
(204, 111)
(204, 131)
(204, 133)
(204, 150)
(204, 153)
(204, 176)
(204, 198)

(217, 22)
(217, 44)
(217, 66)
(217, 67)
(217, 88)
(217, 89)
(217, 106)
(217, 111)
(217, 131)
(217, 133)
(217, 150)
(217, 153)
(217, 176)
(217, 198)

(228, 22)
(228, 44)
(228, 66)
(228, 67)
(228, 88)
(228, 89)
(228, 106)
(228, 111)
(228, 131)
(228, 133)
(228, 150)
(228, 153)
(228, 176)
(228, 198)

(241, 22)
(241, 44)
(241, 66)
(241, 67)
(241, 88)
(241, 89)
(241, 106)
(241, 111)
(241, 131)
(241, 133)
(241, 150)
(241, 153)
(241, 176)
(241, 198)
